Ranking,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Rank 21,"('RYU Seungmin', [1, 1, 2, 2])","('KARLSSON Peter', 99)","('KIM Taeksoo', [1, 2, 1, 2])","('KEEN Trinko', [2, 1, 1, 2])","('MA Long', [1, 1, 1, 1])","('KORBEL Petr', [1, 1, 1, 1])","('PRIMORAC Zoran', [1, 1, 1, 1])","('JIANG Tianyi', [2, 1, 1, 2])","('PRIMORAC Zoran', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('BAUM Patrick', [2, 1, 1, 2])","('LEE Jungwoo', [2, 1, 2, 2])","('TANG Peng', [1, 1, 1, 1])","('GIONIS Panagiotis', [1, 2, 1, 2])","('YOSHIMURA Maharu', [1, 1, 1, 1])","('CALDERANO Hugo', [1, 1, 1, 1])","('ARUNA Quadri', [1, 1, 1, 1])","('JEONG Sangeun', [1, 1, 1, 1])","('GAUZY Simon', [1, 1, 1, 1])","('ARUNA Quadri', [1, 1, 1, 1])"
Rank 22,"('CHUANG Chih-Yuan', [1, 1, 1, 1])","('MA Wenge', [1, 1, 1, 1])","('KARLSSON Peter', 99)","('CHEN Weixing', [1, 2, 1, 2])","('SMIRNOV Alexey', [1, 1, 1, 1])","('MAZE Michael', [2, 1, 1, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('PERSSON Jorgen', [1, 1, 1, 1])","('JIANG Tianyi', [2, 1, 1, 2])","('SMIRNOV Alexey', [1, 1, 1, 1])","('MAZE Michael', [2, 1, 1, 2])","('NIWA Koki', [2, 1, 1, 2])","('CHEN Qi', [2, 1, 1, 2])","('MATSUDAIRA Kenta', [1, 1, 1, 1])","('FEGERL Stefan', [1, 1, 1, 1])","('STEGER Bastian', [1, 1, 1, 1])","('YOSHIDA Masaki', [1, 1, 1, 1])","('JEOUNG Youngsik', [1, 1, 1, 1])","('PITCHFORD Liam', [1, 1, 1, 1])","('LEE Sangsu', [1, 1, 1, 1])"
Rank 23,"('CHILA Patrick', [2, 1, 1, 2])","('CHEUNG Yuk', [2, 1, 1, 2])","('PERSSON Jorgen', [1, 1, 1, 1])","('HAO Shuai', [2, 1, 1, 2])","('LI Ching', 99)","('SAIVE Jean-Michel', [1, 1, 1, 1])","('MAZE Michael', [2, 1, 1, 2])","('CHEN Weixing', [1, 2, 1, 2])","('YOSHIDA Kaii', [1, 1, 2, 2])","('APOLONIA Tiago', [1, 1, 1, 1])","('NIWA Koki', [2, 1, 1, 2])","('ZHAN ^ Jian', 99)","('CHEN Chien-An', [2, 1, 1, 2])","('CHO Eonrae', [1, 1, 1, 1])","('GARDOS Robert', [1, 1, 1, 1])","('APOLONIA Tiago', [1, 1, 1, 1])","('FILUS Ruwen', [1, 2, 1, 2])","('GAUZY Simon', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('ZHAO Zihao', [1, 1, 2, 2])"
Rank 24,"('KARLSSON Peter', 99)","('MAZE Michael', [2, 1, 1, 2])","('ROSSKOPF Jorg', [2, 1, 1, 2])","('KORBEL Petr', [1, 1, 1, 1])","('KARLSSON Peter', 99)","('PRIMORAC Zoran', [1, 1, 1, 1])","('HE Zhiwen', [2, 1, 2, 2])","('PRIMORAC Zoran', [1, 1, 1, 1])","('SUSS Christian', [1, 1, 1, 1])","('GAO Ning', [1, 1, 1, 1])","('KIM Minseok', [1, 1, 1, 1])","('CHEN Weixing', [1, 2, 1, 2])","('STEGER Bastian', [1, 1, 1, 1])","('GACINA Andrej', [1, 1, 1, 1])","('OSHIMA Yuya', [1, 1, 1, 1])","('KARLSSON Kristian', [2, 1, 1, 2])","('JEONG Sangeun', [1, 1, 1, 1])","('KARLSSON Kristian', [2, 1, 1, 2])","('KARLSSON Kristian', [2, 1, 1, 2])","('GARDOS Robert', [1, 1, 1, 1])"
Rank 25,"('KEEN Trinko', [2, 1, 1, 2])","('ROSSKOPF Jorg', [2, 1, 1, 2])","('CHEN Weixing', [1, 2, 1, 2])","('KO Lai Chak', 99)","('CHIANG Peng-Lung', [2, 1, 1, 2])","('CHEUNG Yuk', [2, 1, 1, 2])","('PERSSON Jorgen', [1, 1, 1, 1])","('KO Lai Chak', 99)","('TANG Peng', [1, 1, 1, 1])","('CHEN Weixing', [1, 2, 1, 2])","('SMIRNOV Alexey', [1, 1, 1, 1])","('STEGER Bastian', [1, 1, 1, 1])","('BAUM Patrick', [2, 1, 1, 2])","('ZHAN ^ Jian', 99)","('JANG Woojin', [1, 1, 1, 1])","('ARUNA Quadri', [1, 1, 1, 1])","('OSHIMA Yuya', [1, 1, 1, 1])","('FREITAS Marcos', [2, 1, 1, 2])","('FREITAS Marcos', [2, 1, 1, 2])","('FREITAS Marcos', [2, 1, 1, 2])"
Rank 26,"('KRZESZEWSKI Tomasz', 99)","('CHILA Patrick', [2, 1, 1, 2])","('KORBEL Petr', [1, 1, 1, 1])","('BLASZCZYK Lucjan', 99)","('KORBEL Petr', [1, 1, 1, 1])","('SMIRNOV Alexey', [1, 1, 1, 1])","('SAIVE Jean-Michel', [1, 1, 1, 1])","('HOU ^^ Yingchao', 99)","('KO Lai Chak', 99)","('LEE Jungwoo', [2, 1, 2, 2])","('TOKIC Bojan', [1, 1, 1, 1])","('KISHIKAWA Seiya', [1, 1, 1, 1])","('RYU Seungmin', [1, 1, 2, 2])","('GARDOS Robert', [1, 1, 1, 1])","('APOLONIA Tiago', [1, 1, 1, 1])","('GACINA Andrej', [1, 1, 1, 1])","('ASSAR Omar', [1, 1, 1, 1])","('ARUNA Quadri', [1, 1, 1, 1])","('JHA Kanak', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])"
Rank 27,"('LEE Chulseung', 99)","('SMIRNOV Alexey', [1, 1, 1, 1])","('WALDNER Jan-Ove', [1, 1, 1, 1])","('SMIRNOV Alexey', [1, 1, 1, 1])","('KO Lai Chak', 99)","('KO Lai Chak', 99)","('TANG Peng', [1, 1, 1, 1])","('CRISAN Adrian', [1, 1, 1, 1])","('GAO Ning', [1, 1, 1, 1])","('LI Ching', 99)","('LI ^ Hu', 99)","('FREITAS Marcos', [2, 1, 1, 2])","('KIM Minseok', [1, 1, 1, 1])","('STEGER Bastian', [1, 1, 1, 1])","('GIONIS Panagiotis', [1, 2, 1, 2])","('YOSHIMURA Maharu', [1, 1, 1, 1])","('KARLSSON Kristian', [2, 1, 1, 2])","('FILUS Ruwen', [1, 2, 1, 2])","('GROTH Jonathan', [2, 1, 1, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])"
Rank 28,"('HEISTER Danny', [2, 1, 1, 2])","('HOU ^^ Yingchao', 99)","('MAZE Michael', [2, 1, 1, 2])","('PRIMORAC Zoran', [1, 1, 1, 1])","('BLASZCZYK Lucjan', 99)","('BLASZCZYK Lucjan', 99)","('YANG Zi', [2, 1, 1, 2])","('YOON Jaeyoung', 99)","('ZHANG Jike', [1, 1, 1, 1])","('YOSHIDA Kaii', [1, 1, 2, 2])","('LEE Jungwoo', [2, 1, 2, 2])","('MATTENET Adrien', [1, 1, 1, 1])","('CRISAN Adrian', [1, 1, 1, 1])","('MENGEL Steffen', [1, 1, 1, 1])","('MORIZONO Masataka', [2, 1, 1, 2])","('FALCK Mattias', [1, 1, 1, 1])","('YOSHIMURA Maharu', [1, 1, 1, 1])","('LIN Yun-Ju', [2, 1, 1, 2])","('ASSAR Omar', [1, 1, 1, 1])","('JHA Kanak', [1, 1, 1, 1])"
Rank 29,"('ELOI Damien', [1, 1, 1, 1])","('KEEN Trinko', [2, 1, 1, 2])","('KO Lai Chak', 99)","('ROSSKOPF Jorg', [2, 1, 1, 2])","('WALDNER Jan-Ove', [1, 1, 1, 1])","('GAO Ning', [1, 1, 1, 1])","('CHEUNG Yuk', [2, 1, 1, 2])","('MIZUTANI Jun', [2, 1, 1, 2])","('CHEN Weixing', [1, 2, 1, 2])","('CRISAN Adrian', [1, 1, 1, 1])","('TANG Peng', [1, 1, 1, 1])","('SHIBAEV Alexander', [1, 1, 1, 1])","('MAZE Michael', [2, 1, 1, 2])","('CRISAN Adrian', [1, 1, 1, 1])","('MATSUDAIRA Kenta', [1, 1, 1, 1])","('CHEN Chien-An', [2, 1, 1, 2])","('SHIBAEV Alexander', [1, 1, 1, 1])","('YOSHIMURA Maharu', [1, 1, 1, 1])","('ZHAO Zihao', [1, 1, 2, 2])","('KARLSSON Kristian', [2, 1, 1, 2])"
Rank 30,"('GATIEN Jean-Philippe', [2, 1, 1, 2])","('ELOI Damien', [1, 1, 1, 1])","('KEEN Trinko', [2, 1, 1, 2])","('CRISAN Adrian', [1, 1, 1, 1])","('KEEN Trinko', [2, 1, 1, 2])","('CHIANG Peng-Lung', [2, 1, 1, 2])","('KORBEL Petr', [1, 1, 1, 1])","('LEE Jungwoo', [2, 1, 2, 2])","('YOON Jaeyoung', 99)","('KREANGA Kalinikos', [1, 1, 1, 1])","('SEO Hyundeok', [2, 1, 1, 2])","('TANG Peng', [1, 1, 1, 1])","('ZHAN ^ Jian', 99)","('MURAMATSU Yuto', [1, 1, 1, 1])","('LIANG Jingkun', [1, 1, 1, 1])","('LEBESSON Emmanuel', [2, 1, 1, 2])","('STEGER Bastian', [1, 1, 1, 1])","('ACHANTA Sharath Kamal', [1, 1, 1, 1])","('GNANASEKARAN Sathiyan', [1, 1, 1, 1])","('GROTH Jonathan', [2, 1, 1, 2])"
Rank 31,"('HAKANSSON Fredrik', 99)","('KORBEL Petr', [1, 1, 1, 1])","('MA Wenge', [1, 1, 1, 1])","('CHEUNG Yuk', [2, 1, 1, 2])","('JOO Saehyuk', [1, 2, 1, 2])","('WALDNER Jan-Ove', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('GARDOS Robert', [1, 1, 1, 1])","('GARDOS Robert', [1, 1, 1, 1])","('MATSUDAIRA Kenta', [1, 1, 1, 1])","('LEE Sangsu', [1, 1, 1, 1])","('BAUM Patrick', [2, 1, 1, 2])","('JIANG Tianyi', [2, 1, 1, 2])","('ARUNA Quadri', [1, 1, 1, 1])","('ASSAR Omar', [1, 1, 1, 1])","('MURAMATSU Yuto', [1, 1, 1, 1])","('CALDERANO Hugo', [1, 1, 1, 1])","('GNANASEKARAN Sathiyan', [1, 1, 1, 1])","('LIM Jonghoon', [2, 1, 1, 2])","('JORGIC Darko', [1, 1, 1, 1])"
Rank 32,"('HUANG Johnny', 99)","('BLASZCZYK Lucjan', 99)","('LUNDQVIST Jens', [1, 1, 1, 1])","('PERSSON Jorgen', [1, 1, 1, 1])","('GAO Ning', [1, 1, 1, 1])","('KARAKASEVIC Aleksandar', [2, 1, 1, 2])","('CHEN Weixing', [1, 2, 1, 2])","('TANG Peng', [1, 1, 1, 1])","('KAN Yo', 99)","('KISHIKAWA Seiya', [1, 1, 1, 1])","('LIN Gaoyuan', [2, 1, 1, 2])","('SUSS Christian', [1, 1, 1, 1])","('KISHIKAWA Seiya', [1, 1, 1, 1])","('LEE Jungwoo', [2, 1, 2, 2])","('GERELL Par', [2, 1, 1, 2])","('KOU Lei', [1, 1, 1, 1])","('GROTH Jonathan', [2, 1, 1, 2])","('UEDA Jin', [1, 1, 1, 1])","('HABESOHN Daniel', [1, 1, 1, 1])","('ACHANTA Sharath Kamal', [1, 1, 1, 1])"
Rank 33,"('LEGOUT Christophe', [2, 1, 1, 2])","('KO Lai Chak', 99)","('HAKANSSON Fredrik', 99)","('LUNDQVIST Jens', [1, 1, 1, 1])","('CHILA Patrick', [2, 1, 1, 2])","('ELOI Damien', [1, 1, 1, 1])","('STEGER Bastian', [1, 1, 1, 1])","('TAN Ruiwu', [2, 1, 1, 2])","('CRISAN Adrian', [1, 1, 1, 1])","('STEGER Bastian', [1, 1, 1, 1])","('SKACHKOV Kirill', [1, 1, 1, 1])","('CHAN Kazuhiro', [2, 1, 1, 2])","('GACINA Andrej', [1, 1, 1, 1])","('KISHIKAWA Seiya', [1, 1, 1, 1])","('LI ^ Ping', 99)","('MONTEIRO Joao', [2, 1, 1, 2])","('LEBESSON Emmanuel', [2, 1, 1, 2])","('OSHIMA Yuya', [1, 1, 1, 1])","('PUCAR Tomislav', [1, 1, 1, 1])","('PUCAR Tomislav', [1, 1, 1, 1])"
Rank 34,"('ISEKI Seiko', 99)","('QIN Zhijian', 99)","('TANG Peng', [1, 1, 1, 1])","('MA Wenge', [1, 1, 1, 1])","('ROSSKOPF Jorg', [2, 1, 1, 2])","('LEE Jungwoo', [2, 1, 2, 2])","('CHIANG Peng-Lung', [2, 1, 1, 2])","('CHIANG Peng-Lung', [2, 1, 1, 2])","('XU Xin', [2, 1, 2, 2])","('YOON Jaeyoung', 99)","('YOSHIDA Kaii', [1, 1, 2, 2])","('APOLONIA Tiago', [1, 1, 1, 1])","('GIONIS Panagiotis', [1, 2, 1, 2])","('SHIONO Masato', [1, 2, 1, 2])","('GAUZY Simon', [1, 1, 1, 1])","('SHIBAEV Alexander', [1, 1, 1, 1])","('UEDA Jin', [1, 1, 1, 1])","('CHEN Chien-An', [2, 1, 1, 2])","('ACHANTA Sharath Kamal', [1, 1, 1, 1])","('WANG Yang', [1, 2, 1, 2])"
Rank 35,"('YAN Sen', [2, 2, 1, 2])","('HAKANSSON Fredrik', 99)","('HOU ^^ Yingchao', 99)","('KIM Taeksoo', [1, 2, 1, 2])","('LEUNG Chu Yan', [1, 1, 2, 2])","('CHILA Patrick', [2, 1, 1, 2])","('CRISAN Adrian', [1, 1, 1, 1])","('YOSHIDA Kaii', [1, 1, 2, 2])","('LEE Jungwoo', [2, 1, 2, 2])","('JIANG Tianyi', [2, 1, 1, 2])","('KO Lai Chak', 99)","('KIM Minseok', [1, 1, 1, 1])","('OH Sangeun', [1, 1, 1, 1])","('YU Ziyang', [2, 1, 1, 2])","('SHIBAEV Alexander', [1, 1, 1, 1])","('ZHOU Yu', [2, 1, 1, 2])","('JEOUNG Youngsik', [1, 1, 1, 1])","('GERASSIMENKO Kirill', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('UDA Yukiya', [2, 1, 1, 2])"
Rank 36,"('CHEUNG Yuk', [2, 1, 1, 2])","('LEE Chulseung', 99)","('BLASZCZYK Lucjan', 99)","('QIU Yike', [1, 1, 1, 1])","('CHEUNG Yuk', [2, 1, 1, 2])","('KARLSSON Peter', 99)","('QIU Yike', [1, 1, 1, 1])","('YANG Zi', [2, 1, 1, 2])","('BAUM Patrick', [2, 1, 1, 2])","('CHEUNG Yuk', [2, 1, 1, 2])","('CRISAN Adrian', [1, 1, 1, 1])","('GACINA Andrej', [1, 1, 1, 1])","('LEE Jungwoo', [2, 1, 2, 2])","('YOSHIDA Kaii', [1, 1, 2, 2])","('FILUS Ruwen', [1, 2, 1, 2])","('GROTH Jonathan', [2, 1, 1, 2])","('APOLONIA Tiago', [1, 1, 1, 1])","('LIANG Jingkun', [1, 1, 1, 1])","('GARDOS Robert', [1, 1, 1, 1])","('TSUBOI Gustavo', [2, 1, 1, 2])"
Rank 37,"('FRANZ Peter', 99)","('TASAKI Toshio', 99)","('GATIEN Jean-Philippe', [2, 1, 1, 2])","('ELOI Damien', [1, 1, 1, 1])","('LUNDQVIST Jens', [1, 1, 1, 1])","('MA Wenge', [1, 1, 1, 1])","('LEE Jungwoo', [2, 1, 2, 2])","('SAIVE Jean-Michel', [1, 1, 1, 1])","('TAN Ruiwu', [2, 1, 1, 2])","('PERSSON Jorgen', [1, 1, 1, 1])","('FREITAS Marcos', [2, 1, 1, 2])","('TOKIC Bojan', [1, 1, 1, 1])","('APOLONIA Tiago', [1, 1, 1, 1])","('MORIZONO Masataka', [2, 1, 1, 2])","('MURAMATSU Yuto', [1, 1, 1, 1])","('GIONIS Panagiotis', [1, 2, 1, 2])","('LIANG Jingkun', [1, 1, 1, 1])","('WALTHER Ricardo', [1, 1, 1, 1])","('FILUS Ruwen', [1, 2, 1, 2])","('GNANASEKARAN Sathiyan', [1, 1, 1, 1])"
Rank 38,"('WOSIK Torben', 99)","('QIU Yike', [1, 1, 1, 1])","('CHEUNG Yuk', [2, 1, 1, 2])","('CHILA Patrick', [2, 1, 1, 2])","('FEJER-KONNERTH Zoltan', [1, 1, 1, 1])","('MATSUSHITA Koji', 99)","('LI ^ Ping', 99)","('SMIRNOV Alexey', [1, 1, 1, 1])","('ZHANG Chao', 99)","('JEOUNG Youngsik', [1, 1, 1, 1])","('CHEN Weixing', [1, 2, 1, 2])","('GARDOS Robert', [1, 1, 1, 1])","('TAKAKIWA Taku', [1, 1, 1, 1])","('TSUBOI Gustavo', [2, 1, 1, 2])","('KARLSSON Kristian', [2, 1, 1, 2])","('GERELL Par', [2, 1, 1, 2])","('FALCK Mattias', [1, 1, 1, 1])","('LEBESSON Emmanuel', [2, 1, 1, 2])","('LEBESSON Emmanuel', [2, 1, 1, 2])","('DUDA Benedikt', [2, 1, 1, 2])"
Rank 39,"('YANG Min', 99)","('WOSIK Torben', 99)","('HEISTER Danny', [2, 1, 1, 2])","('LI Ching', 99)","('PERSSON Jorgen', [1, 1, 1, 1])","('KEEN Trinko', [2, 1, 1, 2])","('ELOI Damien', [1, 1, 1, 1])","('KORBEL Petr', [1, 1, 1, 1])","('KORBEL Petr', [1, 1, 1, 1])","('GERELL Par', [2, 1, 1, 2])","('SCHLAGER Werner', [1, 1, 1, 1])","('MATSUDAIRA Kenta', [1, 1, 1, 1])","('JEOUNG Youngsik', [1, 1, 1, 1])","('KARLSSON Kristian', [2, 1, 1, 2])","('STEGER Bastian', [1, 1, 1, 1])","('OSHIMA Yuya', [1, 1, 1, 1])","('GIONIS Panagiotis', [1, 2, 1, 2])","('HABESOHN Daniel', [1, 1, 1, 1])","('WANG Yang', [1, 2, 1, 2])","('AN Jaehyun', [1, 1, 1, 1])"
Rank 40,"('ZHAN ^ Jian', 99)","('GATIEN Jean-Philippe', [2, 1, 1, 2])","('HUANG Johnny', 99)","('WOSIK Torben', 99)","('LIN Ju', 99)","('ROSSKOPF Jorg', [2, 1, 1, 2])","('SUSS Christian', [1, 1, 1, 1])","('LI ^ Ping', 99)","('KIM Junghoon', [1, 1, 1, 1])","('MATTENET Adrien', [1, 1, 1, 1])","('PRIMORAC Zoran', [1, 1, 1, 1])","('ALAMIYAN Noshad', [2, 1, 1, 2])","('CHAN Kazuhiro', [2, 1, 1, 2])","('JEOUNG Youngsik', [1, 1, 1, 1])","('MONTEIRO Joao', [2, 1, 1, 2])","('DRINKHALL Paul', [1, 1, 1, 1])","('CHEN Chien-An', [2, 1, 1, 2])","('APOLONIA Tiago', [1, 1, 1, 1])","('AN Jaehyun', [1, 1, 1, 1])","('LEBESSON Emmanuel', [2, 1, 1, 2])"
Rank 41,"('CHEN Weixing', [1, 2, 1, 2])","('CHEN Weixing', [1, 2, 1, 2])","('CHILA Patrick', [2, 1, 1, 2])","('KUZMIN Fedor', [1, 1, 1, 1])","('FRANZ Peter', 99)","('PERSSON Jorgen', [1, 1, 1, 1])","('TAN Ruiwu', [2, 1, 1, 2])","('HE Zhiwen', [2, 1, 2, 2])","('TOKIC Bojan', [1, 1, 1, 1])","('PRIMORAC Zoran', [1, 1, 1, 1])","('GARDOS Robert', [1, 1, 1, 1])","('KIM Hyok Bong', [1, 1, 1, 1])","('SHIBAEV Alexander', [1, 1, 1, 1])","('GAUZY Simon', [1, 1, 1, 1])","('KIM Minseok', [1, 1, 1, 1])","('LI ^ Ping', 99)","('FEGERL Stefan', [1, 1, 1, 1])","('MATSUDAIRA Kenta', [1, 1, 1, 1])","('TSUBOI Gustavo', [2, 1, 1, 2])","('ASSAR Omar', [1, 1, 1, 1])"
Rank 42,"('TASAKI Toshio', 99)","('YAN Sen', [2, 2, 1, 2])","('WOSIK Torben', 99)","('HOU ^^ Yingchao', 99)","('HEISTER Danny', [2, 1, 1, 2])","('HE Zhiwen', [2, 1, 2, 2])","('BLASZCZYK Lucjan', 99)","('SUSS Christian', [1, 1, 1, 1])","('GIONIS Panagiotis', [1, 2, 1, 2])","('KO Lai Chak', 99)","('SUSS Christian', [1, 1, 1, 1])","('GIONIS Panagiotis', [1, 2, 1, 2])","('GARDOS Robert', [1, 1, 1, 1])","('MATTENET Adrien', [1, 1, 1, 1])","('KIM Donghyun', [1, 1, 1, 1])","('DYJAS Jakub', [1, 1, 1, 1])","('MURAMATSU Yuto', [1, 1, 1, 1])","('KOU Lei', [1, 1, 1, 1])","('MORIZONO Masataka', [2, 1, 1, 2])","('FILUS Ruwen', [1, 2, 1, 2])"
Rank 43,"('MATSUSHITA Koji', 99)","('TANG Peng', [1, 1, 1, 1])","('CRISAN Adrian', [1, 1, 1, 1])","('STEGER Bastian', [1, 1, 1, 1])","('FENG Zhe', 99)","('GARDOS Robert', [1, 1, 1, 1])","('WALDNER Jan-Ove', [1, 1, 1, 1])","('STEGER Bastian', [1, 1, 1, 1])","('SAIVE Jean-Michel', [1, 1, 1, 1])","('GARDOS Robert', [1, 1, 1, 1])","('LEUNG Chu Yan', [1, 1, 2, 2])","('LI ^ Hu', 99)","('SMIRNOV Alexey', [1, 1, 1, 1])","('MONTEIRO Joao', [2, 1, 1, 2])","('MATTENET Adrien', [1, 1, 1, 1])","('DUDA Benedikt', [2, 1, 1, 2])","('DRINKHALL Paul', [1, 1, 1, 1])","('TSUBOI Gustavo', [2, 1, 1, 2])","('JORGIC Darko', [1, 1, 1, 1])","('PERSSON Jon', [1, 1, 1, 1])"
Rank 44,"('KO Lai Chak', 99)","('LUNDQVIST Jens', [1, 1, 1, 1])","('MATSUSHITA Koji', 99)","('KARAKASEVIC Aleksandar', [2, 1, 1, 2])","('STEGER Bastian', [1, 1, 1, 1])","('LUNDQVIST Jens', [1, 1, 1, 1])","('GARDOS Robert', [1, 1, 1, 1])","('TOKIC Bojan', [1, 1, 1, 1])","('STEGER Bastian', [1, 1, 1, 1])","('GIONIS Panagiotis', [1, 2, 1, 2])","('PERSSON Jorgen', [1, 1, 1, 1])","('TAKAKIWA Taku', [1, 1, 1, 1])","('FANG Bo', [1, 1, 1, 1])","('GERELL Par', [2, 1, 1, 2])","('FRANZISKA Patrick', [1, 1, 1, 1])","('GARDOS Robert', [1, 1, 1, 1])","('KOU Lei', [1, 1, 1, 1])","('IONESCU Ovidiu', [1, 1, 1, 1])","('JIN Takuya', [1, 1, 1, 1])","('HABESOHN Daniel', [1, 1, 1, 1])"
Rank 45,"('CHANG Yen-Shu', 99)","('CHANG Yen-Shu', 99)","('KRZESZEWSKI Tomasz', 99)","('BENTSEN Allan', 99)","('KARAKASEVIC Aleksandar', [2, 1, 1, 2])","('YANG Zi', [2, 1, 1, 2])","('TOKIC Bojan', [1, 1, 1, 1])","('KIM Junghoon', [1, 1, 1, 1])","('SMIRNOV Alexey', [1, 1, 1, 1])","('SAIVE Jean-Michel', [1, 1, 1, 1])","('APOLONIA Tiago', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('YOSHIDA Kaii', [1, 1, 2, 2])","('DRINKHALL Paul', [1, 1, 1, 1])","('JIANG Tianyi', [2, 1, 1, 2])","('ASSAR Omar', [1, 1, 1, 1])","('MORIZONO Masataka', [2, 1, 1, 2])","('DUDA Benedikt', [2, 1, 1, 2])","('SIRUCEK Pavel', [1, 1, 1, 1])","('JIN Takuya', [1, 1, 1, 1])"
Rank 46,"('SAIVE Philippe', 99)","('HUANG Johnny', 99)","('LEUNG Chu Yan', [1, 1, 2, 2])","('HUANG Johnny', 99)","('GRUJIC Slobodan', 99)","('LEI Zhenhua', 99)","('ROSSKOPF Jorg', [2, 1, 1, 2])","('MONTEIRO Joao', [2, 1, 1, 2])","('HE Zhiwen', [2, 1, 2, 2])","('KIM Junghoon', [1, 1, 1, 1])","('MATSUDAIRA Kenta', [1, 1, 1, 1])","('MONTEIRO Joao', [2, 1, 1, 2])","('CHO Eonrae', [1, 1, 1, 1])","('FRANZISKA Patrick', [1, 1, 1, 1])","('TSUBOI Gustavo', [2, 1, 1, 2])","('HO Kwan Kit', [2, 1, 1, 2])","('DUDA Benedikt', [2, 1, 1, 2])","('GIONIS Panagiotis', [1, 2, 1, 2])","('GIONIS Panagiotis', [1, 2, 1, 2])","('GERASSIMENKO Kirill', [1, 1, 1, 1])"
Rank 47,"('BENTSEN Allan', 99)","('MATSUSHITA Koji', 99)","('LI Ching', 99)","('FRANZ Peter', 99)","('TAN Ruiwu', [2, 1, 1, 2])","('STEGER Bastian', [1, 1, 1, 1])","('LUNDQVIST Jens', [1, 1, 1, 1])","('KUZMIN Fedor', [1, 1, 1, 1])","('CHIANG Peng-Lung', [2, 1, 1, 2])","('CHO Eonrae', [1, 1, 1, 1])","('JIANG Tianyi', [2, 1, 1, 2])","('SMIRNOV Alexey', [1, 1, 1, 1])","('SHIONO Masato', [1, 2, 1, 2])","('JIANG Tianyi', [2, 1, 1, 2])","('FALCK Mattias', [1, 1, 1, 1])","('PITCHFORD Liam', [1, 1, 1, 1])","('WALTHER Ricardo', [1, 1, 1, 1])","('ASSAR Omar', [1, 1, 1, 1])","('NUYTINCK Cedric', [2, 1, 1, 2])","('GACINA Andrej', [1, 1, 1, 1])"
Rank 48,"('HE Zhiwen', [2, 1, 2, 2])","('KRZESZEWSKI Tomasz', 99)","('TASAKI Toshio', 99)","('GARDOS Robert', [1, 1, 1, 1])","('ELOI Damien', [1, 1, 1, 1])","('KUZMIN Fedor', [1, 1, 1, 1])","('KARAKASEVIC Aleksandar', [2, 1, 1, 2])","('WANG Zengyi', [1, 1, 2, 2])","('WANG Zengyi', [1, 1, 2, 2])","('ACHANTA Sharath Kamal', [1, 1, 1, 1])","('GIONIS Panagiotis', [1, 2, 1, 2])","('TAN Ruiwu', [2, 1, 1, 2])","('TAN Ruiwu', [2, 1, 1, 2])","('LIANG Jingkun', [1, 1, 1, 1])","('BAUM Patrick', [2, 1, 1, 2])","('GAO Ning', [1, 1, 1, 1])","('LIM Jonghoon', [2, 1, 1, 2])","('MORIZONO Masataka', [2, 1, 1, 2])","('DUDA Benedikt', [2, 1, 1, 2])","('MORIZONO Masataka', [2, 1, 1, 2])"
Rank 49,"('JOO Saehyuk', [1, 2, 1, 2])","('ISEKI Seiko', 99)","('CHANG Yen-Shu', 99)","('FENG Zhe', 99)","('HE Zhiwen', [2, 1, 2, 2])","('YOSHIDA Kaii', [1, 1, 2, 2])","('KARLSSON Peter', 99)","('BLASZCZYK Lucjan', 99)","('LUNDQVIST Jens', [1, 1, 1, 1])","('LEGOUT Christophe', [2, 1, 1, 2])","('CHEUNG Yuk', [2, 1, 1, 2])","('LEUNG Chu Yan', [1, 1, 2, 2])","('FRANZISKA Patrick', [1, 1, 1, 1])","('PITCHFORD Liam', [1, 1, 1, 1])","('YOSHIDA Masaki', [1, 1, 1, 1])","('TOKIC Bojan', [1, 1, 1, 1])","('FRANZISKA Patrick', [1, 1, 1, 1])","('TOKIC Bojan', [1, 1, 1, 1])","('CHEN Chien-An', [2, 1, 1, 2])","('GIONIS Panagiotis', [1, 2, 1, 2])"
