Player ID,Name,Assoc,Gender,Birth year,Activity,Playing hand,Playing style,Grip,Playing_hand_numeric,Playing_style_numeric,Grip_numeric,Style_commonness
133758,BRZYSKA Anna,POL,Female,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
119033,BU Alexander,CAN,Male,2002.0,Active,Right-handed,Attacker,Penhold,0,0,1,1
115118,BU SHULAYBI Abdulaziz,KSA,Male,1997.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
144656,BUASUWAN Natthanicha,THA,Female,2008.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
122020,BUBEN Vlastimil,CZE,Male,1999.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
133845,BUCCI Valerio,ITA,Male,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
117040,BUCHOU Margot,FRA,Female,1995.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
101372,BUCK David,WAL,Male,1971.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
121872,BUCKO Patrik,SVK,Male,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
118693,BUCKO Robert,SVK,Male,1996.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
137732,BUDAIR Hazim,BRN,Male,2007.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
130417,BUDAYOVA-ZATKOVA Renata,SVK,Female,0.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
134972,BUDDHADASA Hasali Sanaya ^^,AUS,Female,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
101378,BUDIONO,INA,Male,1978.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
111082,BUENO Paula,ESP,Female,1993.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
110889,BUIL Julie,FRA,Female,1981.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
134994,BUJOR Dragos Alexandru,ROU,Male,2006.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
136042,BUKREEV Daniil,RUS,Male,2007.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
146010,BULAKH Yevhenii,UKR,Male,2008.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
112542,BULATOVIC Dusan,MNE,Male,1991.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
124531,BULIC Petra,CRO,Female,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
136555,BUNCEK Stefan,SVK,Male,2006.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
