Rang,Nom
1,Ding Ning
2,Liu Shiwen
3,Li Xiaoxia
4,Zhu Yuling
5,Kasumi Ishikawa
6,Feng Tianwei
7,Cheng I-Ching
8,Han Ying
9,Mima Ito
10,Chen Meng
