Rang,Nom
1,Liu Shiwen
2,Ding Ning
3,Li Xiaoxia
4,Feng Tianwei
5,Wu Yang
6,Chen Meng
7,Zhu Yuling
8,Guo Yan
9,Ai Fukuhara
10,Kasumi Ishikawa
