Rang,Nom
1,Wang Hao
2,Ma Long
3,Ma Lin
4,Timo Boll
5,Wang Liqin
6,Vladimir Samsonov
7,Chen Qi
8,Joo Se-hyuk
9,Hao Shuai
10,Oh Sang-eun
