Rang,Nom
1,Fan Zhendong
2,Ma Long
3,Xu Xin
4,Hugo Calderano
5,Tomokazu Harimoto
6,Lin Yun-Ju
7,Lin Gaoyuan
8,Liang Jingkun
9,Dimitrij Ovtcharov
10,Timo Boll
