Rang,Nom
1,Ma Long
2,Fan Zhendong
3,Xu Xin
4,Zhang Jike
5,Jun Mizutani
6,Dimitrij Ovtcharov
7,Wong Chun Ting
8,Vladimir Samsonov
9,Chuan Chih-yuan
10,Jeoung Youngsik
