Rang,Nom
1,Ma Long
2,Xu Xin
3,Zhang Jike
4,Wang Hao
5,Fan Zhendong
6,Dimitrij Ovtcharov
7,Yan An
8,Timo Boll
9,Chuang Chih-Yuan
10,Vladimir Samsonov
