Rang,Nom
1,Liu Shiwen
2,Zhu Yuling
3,Ding Ning
4,Ai Fukuhara
5,Kasumi Ishikawa
6,Li Xiaoxia
7,Feng Tianwei
8,Chen Meng
9,Han Ying
10,Wu Yang
