Rang,Nom
1,Sun Yingsha
2,Wang Yidi
3,Wang Manyu
4,Chen Meng
5,Hina Hayata
6,Chen Xingtong
7,Qian Tianyi
8,Han Ying
9,Shin Yu-bin
10,Mima Ito
