Rang,Nom
1,Guo Yan
2,Guo Yue
3,Feng Tianwei
4,Liu Shiwen
5,Kim Kyungah
6,Li Xiaoxia
7,Ding Ning
8,Wang Yuegu
9,Ai Fukuhara
10,Jiang Huajun
