Rang,Nom
1,Wang Hao
2,Ma Lin
3,Ma Long
4,Timo Boll
5,Wang Liqin
6,Vladimir Samsonov
7,Chen Qi
8,Ryu Seung-min
9,Hao Shuai
10,Joo Se-hyuk
