Rang,Nom
1,Wang Liqin
2,Vladimir Samsonov
3,Ma Lin
4,Liu Guozheng
5,Kong Linghui
6,Chiang Peng-Lung
7,Kim Taek-soo
8,Liu Guoliang
9,Jan-Ove Waldner
10,Werner Schlager
