Rang,Nom
1,Ding Ning
2,Liu Shiwen
3,Li Xiaoxia
4,Feng Tianwei
5,Zhu Yuling
6,Kasumi Ishikawa
7,Wu Yang
8,Chen Meng
9,Han Ying
10,Ai Fukuhara
