Rang,Nom
1,Ding Ning
2,Li Xiaoxia
3,Guo Yan
4,Liu Shiwen
5,Feng Tianwei
6,Guo Yue
7,Kasumi Ishikawa
8,Wang Yuegu
9,Ai Fukuhara
10,Tie Yana
