Rang,Nom
1,Sun Yingsha
2,Wang Manyu
3,Wang Yidi
4,Chen Meng
5,Chen Xingtong
6,Hina Hayata
7,Miwa Harimoto
8,Satsuki Odo
9,Cheng I-Ching
10,Shin Yu-bin
