Rang,Nom
1,Wang Nan
2,Zhang Yining
3,Tamara Boros
4,Niu Jianfeng
5,Lin Ling
6,Li Nan
7,Mihaela Steff
8,Li Jiawei
9,Li Ju
10,Tie Yana
