Rang,Nom
1,Ma Long
2,Timo Boll
3,Wang Hao
4,Zhang Jike
5,Ma Lin
6,Vladimir Samsonov
7,Wang Liqin
8,Joo Se-hyuk
9,Xu Xin
10,Jun Mizutani
