Rang,Nom
1,Chen Meng
2,Sun Yingsha
3,Mima Ito
4,Wang Manyu
5,Ding Ning
6,Zhu Yuling
7,Liu Shiwen
8,Cheng I-Ching
9,Kasumi Ishikawa
10,Wang Yidi
