Rang,Nom
1,Zhang Yining
2,Wang Nan
3,Guo Yan
4,Niu Jianfeng
5,Guo Yue
6,Li Ju
7,Tie Yana
8,Tamara Boros
9,Li Nan
10,Lin Ling
