Rang,Nom
1,Wang Chuqin
2,Lin Shidong
3,Tomokazu Harimoto
4,Félix Lebrun
5,Liang Jingkun
6,Fan Zhendong
7,Hugo Calderano
8,Ma Long
9,Truls Moregard
10,Lin Gaoyuan
