Rang,Nom
1,Chen Meng
2,Sun Yingsha
3,Mima Ito
4,Wang Manyu
5,Wang Yidi
6,Ding Ning
7,Kasumi Ishikawa
8,Cheng I-Ching
9,Feng Tianwei
10,Zhu Yuling
