Rang,Nom
1,Zhang Yining
2,Guo Yan
3,Wang Nan
4,Li Jiawei
5,Guo Yue
6,Tie Yana
7,Wang Yuegu
8,Li Xiaoxia
9,Niu Jianfeng
10,Kim Kyungah
