Rang,Nom
1,Ma Lin
2,Wang Liqin
3,Chuang Chih-Yuan
4,Wang Hao
5,Vladimir Samsonov
6,Timo Boll
7,Kalinikos Kreanga
8,Liu Guozheng
9,Kong Linghui
10,Werner Schlager
