Rang,Nom
1,Wang Nan
2,Zhang Yining
3,Ryu Jihae
4,Tamara Boros
5,Li Ju
6,Mihaela Steff
7,Sun Jin
8,Chen Jing
9,Kim Hyon Hui
10,Niu Jianfeng
