Rang,Nom
1,Chen Meng
2,Sun Yingsha
3,Liu Shiwen
4,Mima Ito
5,Zhu Yuling
6,Wang Manyu
7,Ding Ning
8,Cheng I-Ching
9,Feng Tianwei
10,Kasumi Ishikawa
