Rang,Nom
1,Zhang Yining
2,Niu Jianfeng
3,Wang Nan
4,Tamara Boros
5,Guo Yan
6,Kim Kyungah
7,Guo Yue
8,Li Jiawei
9,Tie Yana
10,Lau Sui Fei
