Rang,Nom
1,Ma Long
2,Zhang Jike
3,Wang Hao
4,Timo Boll
5,Xu Xin
6,Wang Liqin
7,Ma Lin
8,Jun Mizutani
9,Joo Se-hyuk
10,Dimitrij Ovtcharov
