Rang,Nom
1,Wang Hao
2,Ma Lin
3,Wang Liqin
4,Ma Long
5,Timo Boll
6,Vladimir Samsonov
7,Chen Qi
8,Ryu Seung-min
9,Oh Sang-eun
10,Gao Ning
