Rang,Nom
1,Ma Long
2,Fan Zhendong
3,Xu Xin
4,Dimitrij Ovtcharov
5,Zhang Jike
6,Jun Mizutani
7,Timo Boll
8,Marcos Freitas
9,Chuan Chih-yuan
10,Fang Bo
