Rang,Nom
1,Ding Ning
2,Liu Shiwen
3,Li Xiaoxia
4,Guo Yan
5,Kim Kyungah
6,Ai Fukuhara
6,Feng Tianwei
8,Shen Yanfei
9,Kasumi Ishikawa
10,Wu Yang
