Rang,Nom
1,Zhang Jike
2,Ma Long
3,Xu Xin
4,Wang Hao
5,Timo Boll
6,Ma Lin
7,Dimitrij Ovtcharov
8,Chuan Chih-Yuan
9,Wang Liqin
10,Jun Mizutani
