Rang,Nom
1,Fan Zhendong
2,Tomokazu Harimoto
3,Ma Long
4,Wang Chuqin
5,Truls Moregard
6,Liang Jingkun
7,Hugo Calderano
8,Lin Yun-Ju
9,Dimitrij Ovtcharov
10,Darko Jorgić
