Rang,Nom
1,Zhang Yining
2,Guo Yue
3,Li Jiawei
4,Guo Yan
5,Niu Jianfeng
6,Kim Kyungah
7,Wang Nan
8,Tie Yana
9,Tamara Boros
10,Lin Ling
