Rang,Nom
1,Xu Xin
2,Ma Long
3,Fan Zhendong
4,Zhang Jike
5,Jun Mizutani
6,Wang Hao
7,Dimitrij Ovtcharov
8,Chuang Chih-Yuan
9,Timo Boll
10,Yan An
