Rang,Nom
1,Ma Long
2,Fan Zhendong
3,Dimitrij Ovtcharov
4,Xu Xin
5,Timo Boll
6,Lin Gaoyuan
7,Jun Mizutani
8,Koki Niwa
9,Zhang Jike
10,Lee Sangsu
