Rang,Nom
1,Sun Yingsha
2,Chen Meng
3,Wang Manyu
4,Wang Yidi
5,Mima Ito
6,Hina Hayata
7,Chen Xingtong
8,Kasumi Ishikawa
9,Doo Hoi Kem
10,Han Ying
