Rang,Nom
1,Ma Lin
2,Timo Boll
3,Wang Liqin
4,Kong Linghui
5,Werner Schlager
6,Vladimir Samsonov
7,Chuang Chih-Yuan
8,Kalinikos Kreanga
9,Jean-Michel Saive
10,Zoran Primorac
