Rang,Nom
1,Wang Liqin
2,Timo Boll
3,Vladimir Samsonov
4,Ma Lin
5,Wang Hao
6,Oh Sang-eun
7,Ryu Seung-min
8,Chen Qi
9,Jean-Michel Saive
10,Kalinikos Kreanga
