Rang,Nom
1,Zhu Yuling
2,Chen Meng
3,Ding Ning
4,Liu Shiwen
5,Kasumi Ishikawa
6,Miu Hirano
7,Sun Yingsha
8,Wang Manyu
9,Mima Ito
10,Chen Xingtong
