Rang,Nom
1,Wang Hao
2,Wang Liqin
3,Ma Lin
4,Ryu Seung-min
5,Timo Boll
6,Chen Qi
7,Chuang Chih-Yuan
8,Vladimir Samsonov
9,Werner Schlager
10,Kalinikos Kreanga
