Rang,Nom
1,Zhang Yining
2,Guo Yue
3,Li Xiaoxia
4,Liu Shiwen
5,Guo Yan
6,Wang Nan
7,Feng Tianwei
8,Kim Kyungah
9,Ding Ning
10,Jiang Huajun
