Rang,Nom
1,Wang Liqin
2,Ma Lin
3,Timo Boll
4,Wang Hao
5,Vladimir Samsonov
6,Chen Qi
7,Oh Sang-eun
8,Ryu Seung-min
9,Werner Schlager
10,Chen Weixing
