Rang,Nom
1,Fan Zhendong
2,Wang Chuqin
3,Ma Long
4,Liang Jingkun
5,Hugo Calderano
6,Lin Yun-ju
7,Lin Gaoyuan
8,Félix Lebrun
9,Lin Shidong
10,Jang Woo-jin
