Rang,Nom
1,Zhang Yining
2,Li Xiaoxia
3,Guo Yue
4,Wang Nan
5,Guo Yan
6,Feng Tianwei
7,Li Jiawei
8,Wang Yuegu
9,Tie Yana
10,Jiang Huajun
